SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
LET-MQ,"LETTUCE, BUTTERHEAD",BUTTERHEAD LETTUCE,Merveille des Quatre Saisons,"Classic French variety, yielding uniform & ",buttery delicious red fringed green heads.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50-60 Days,Lactuca sativa var. capitata,
LET-SB,"LETTUCE, BUTTERHEAD",BUTTERHEAD LETTUCE,Scarlet Butter,Red tipped green leaves encase a ,buttery soft golden yellow heart.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,60 Days,Lactuca sativa var. capitata,
LET-AB,"LETTUCE, BUTTERHEAD",BUTTERHEAD LETTUCE,Speckled,*Ark of Taste Heirloom* Classic Amish variety ,flecked w/burgundy speckles. Tender!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa var. capitata,
LET-TB,"LETTUCE, BUTTERHEAD",BUTTERHEAD LETTUCE,Tennis Ball,*Ark of Taste Heirloom* Produces ,mini 4” heads. Halve & dress. ,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa var. capitata,
LET-RG,"LETTUCE, CRISPHEAD",CRISPHEAD LETTUCE,Reine de Glaces,Glowing green with deeply serrated edges. ,Wonderfully crunchy & refreshing! Crunch...,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50-55 Days,Lactuca sativa,
LET-SU,"LETTUCE, CRISPHEAD",CRISPHEAD LETTUCE,Summertime,"Iceberg! Slow bolting, sure heading variety. ",A laugh out loud crunchy party in your mouth!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,60-65 Days,Lactuca sativa,
LET-AY,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Australian Yellowleaf,"Glowing chartreuse, enormous loose heads ",& savoyed leaves. A Favorite!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-CR,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Cracoviensis,"Versatile, graceful & wavy, purple-green ",lance-leaved plants. 19th cent. French cultivar.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,65 Days,Lactuca sativa,
LET-EM,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Emerald Fan,Green deer-tongue type w/long slender baby, leaves & upright mature heads. Crisp midribs.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-AD,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Grandpa Admire's,"*Ark of Taste Heirloom* Uniform, dense ",heads w/tender leaves tinged red at tips.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
LET-HR,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Hyper Red Rumpled Wave,Large dark burgundy heads w/deeply textured ,leaves perfect for holding yummy dressings!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
LET-LB,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,La Brillante,"Disease resistant powerhouse with icy-crisp,"," bright, chartreuse green leaves.",,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
LET-OD,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Les Orielles du Diable,Glossy deep green deer tongue leaves ,w/burgundy hues & nutty flavor. Delicious!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-ME,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Merlot,Deep burgundy from the tips of leaves to ,the base of the stem. Slow to bolt. Stunning.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,60 Days,Lactuca sativa,
LET-RV,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Revolution,"Seriously flashy, darker red version of the ","classic Lollo Rossa type. Frilly, dense heads.",,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
LET-RR,"LETTUCE, LOOSELEAF",LOOSELEAF LETTUCE,Royal Red,Rumpled/folded green leaves painted  ,w/bright red to enliven your salads!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,56 Days,Lactuca sativa,
LET-BI,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Bijella,"Red tinged, densely curled heads. ",Oakleaf-meets-butterhead tenderness.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-FB,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Flashy Butter Oak,Striking combo of red speckling on,green frames. Excellent taste/texture.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
LET-GA,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Galisse,Vibrant emerald green oakleaf meets ,"butterhead! Compact, dense heads.",,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-GR,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Goldrush,Lovely chartreuse & super frilly leaves! ,Nice cutting lettuce and/or mature head.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-IT,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Italienischer,A magnificent lettuce of tremendous size! ,"Slow to bolt, crispy and sweet.",,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
LET-MA,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Mascara,"Gorgeous, huge red oakleaf variety! ","Very dependable, uniform and bolt resistant.",,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,65 Days,Lactuca sativa,
LET-OS,"LETTUCE, OAKLEAF",OAKLEAF LETTUCE,Oscarde,Dense heads w/wavy red leaves. ,Looseleaf & butterhead in one! Favorite!,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa,
LET-BG,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Barnwood Gem,"Palm sized mini butter/romaine, ",with pleasing crunch and sweetness.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50 Days,Lactuca sativa var. longifolia,
LET-CI,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Cimarron,Beautiful & huge bronze-red romaine., Tender leaves with crunchy midribs.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,65 Days,Lactuca sativa var. longifolia,
LET-ER,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Eruption,A volcano of mini savoyed romaine! Dark red ,tips on green leaves with a pink magma core.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,28 (baby)-50 Days,Lactuca sativa var. longifolia,
LET-FT,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Flashy Trout's Back,Selection of an old Austrian variety. Very ,tender apple-green leaves w/red speckles.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,28 (baby)-50 Days,Lactuca sativa var. longifolia,
LET-JE,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Jericho,"Excellent quality, luminescent chartreuse ",savoyed leaves bred to excel in summer heat.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,60 Days,Lactuca sativa var. longifolia,
LET-LG,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Little Gem,"Fast-growing, miniature green romaine ",stands about 8”. Perfect size salad for two! ,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,45-50 Days,Lactuca sativa,
LET-PI,"LETTUCE, ROMAINE",ROMAINE LETTUCE,Parris Island Cos,"Classic, large market quality heads. Superb ",texture & crunch w/robust upright habit.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,65 Days,Lactuca sativa var. longifolia,
LET-MX,"LETTUCE, MIX",UPRISING LETTUCE MIX,Uprising Lettuce Mix,"Colorful mix of many of our lettuce varieties,", including some not yet released gene pools ,to add diversity to your lettuce patch.,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50-60 Days,Lactuca sativa,
LET-QH,LETTUCE,LETTUCE,Queen of Hearts,New mini butterhead/romaine with deep,red outer leaves and a ruffly pink core.,,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,50-55 Days,Lactuca sativa,
MEL-CL,MELON,CAROSELLO,Leccese Light Green,Traditional crop of Puglia. Melons are eaten,immature like a cucumber. Crisp & delicious!,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,"Notes: best quality at about 4-5"" in length",50-60 Days,Cucumis melo,
MEL-MO,MELON,,Moscatello,"Rare, old melon variety from Northern Italy.",Very juicy and sweet green-gold flesh.,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,"Notes: best quality at about 4-5"" in length",85-90 days,Cucumis melo,
MEL-ER,MELON,,Eel River,"3-5lb teardrop-shaped w/aromatic, very ",creamy & delicious sweet flesh. Does not slip.,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,Ripe when the “freckles” start to turn orange,80-90 Days,Cucumis melo,
MEL-GI,MELON,,Giallo d'Inverno,Yellow football shaped fruits w/sweet flavor, reminiscent of honeydew. Very productive.,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,Notes: ripe when turning from green to yellow,95 Days,Cucumis melo,
MEL-PF,MELON,,Prescott Fond Blanc,Drought resistant true cantaloupe with ,"ethereal, intoxicating fragrance and flesh.",,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,"Notes: these do NOT slip. Pick when fragrant, ",& skin is blush tan. Prefers a dry season,85 Days,Cucumis sativus,
MEL-SS,MELON,,Sakata Sweet,Grapefruit sized w/delicious honeydew-like ,light green flesh. Stores well in fridge.,,Cuke & Melon,Sow: 2-4 weeks before last frost,Transplant in early June once nights warm,Planting Depth: ½”,Days to Germinate: 4-7 @ Soil Temp: 75-90F ,Field Spacing 1.5 in rows or 3-5’ in hills,Light: full sun,Notes: ripe when turning from green to yellow,85-90 Days,Cucumis melo,
ONI-RM,"ONION, RED STORAGE",RED STORAGE ONION,Rossa di Milano,"Unique flat-topped, northern Italian variety. ",Truly exceptional flavor & excellent keeper.,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks/early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4”,Light: full sun,Notes: excellent keeper,110 Days,Allium cepa,
ONI-IS,"ONION, SCALLION",SCALLION,Ishikura Long Winter,Classic Japanese winter-hardy variety. ,Long white stalks & sturdy upright leaves.,,Allium,Sow: in flats Feb-mid March and/or late fall,Direct sow or sow in flats @ Planting depth: 1/4”,Transplant out in 10wks /early Spring,Days to Germinate: 5-14 @ Soil Temp: 60-75F,Spacing after Thinning: 6-9””,Light: full sun,"Remarkable variety, long harvest. Overwinters.",50 Days,Allium cepa,
ONI-NY,"ONION, STORAGE",STORAGE ONION,New York Early,"Medium sized, uniform, tight yellow bulbs.  ",Excellent and dependable storage variety.,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early Spring,Planting Depth: ¼”,Days to Germ: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4”,Light: full sun,Notes: excellent keeper,100 Days,Allium cepa,
ONI-RJ,"ONION, STORAGE",STORAGE ONION,Rijnsburg 5,Excellent Dutch bred storage onion w/lovely ,bronze skin. Uniform & very productive.,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4”,Light: full sun,Notes: excellent keeper,100 Days,Allium cepa,
ONI-SR,"ONION, STORAGE",STORAGE ONION,Stuttgarter Riesen,"Versatile, slightly flattened yellow storage ",variety w/splendid taste & keeping qualities.,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4”,Light: full sun,Notes: excellent keeper,100 Days,Allium cepa,
ONI-AC,"ONION, SWEET",SWEET ONION,Ailsa Craig,Giant (to 3lb!) globe shaped sweet onions. ,Better storage than most sweets.,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early Spring,Planting Depth: ¼”,Days to Germ: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4-6”,Light: full sun,HUGE! Stores better than most sweets.,100-110 Days,Allium cepa,
ONI-RL,"ONION, SWEET",SWEET ONION,Red Long of Tropea,Dramatic elongated shape & sweet wine ,red flesh. Roast! Grill! Eat fresh!,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4”,Light: full sun,Notes: fresh use and short term storage,90 Days,Allium cepa,
ONI-SS,"ONION, SWEET",SWEET ONION,Siskiyou Sweet,"Outstanding selection of classic, ",northern-adapted Walla Walla sweet.,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4-6”,Light: full sun,Notes: very sweet. Not for storage.,110-120 Days,Allium cepa,
PEA-SS,"PEA, CLIMBING SNAP",CLIMBING SNAP PEA,Sugar Snap,Reigns supreme as the sweetest pea.,Vigorous 5-6’ vines require staking.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,70-80 Days,Pisum sativum,
COW-FL,"PEA, COWPEA",COWPEA/SOUTHERN PEA,Fast Lady Northern,"Early ripening, creamy, small-seeded, white ",pea selected for northern production.,,Pea,"Direct Sow: when soil reaches 65F, or by early June",Planting Depth: 1”,Days to Germinate: 5-14 @ Soil Temp: 60-75F,Spacing: 2-4” (no need to thin),Light: Full sun,"Allow pods to dry, then pull plants and thresh,",or harvest pods as they dry & thresh when ready,90-100 Days,Vigna unguiculata,
PEA-RV,"PEA, DRY/SOUP",DRY/SOUP PEA,Roveja,*Ark of Taste Heirloom* Delightful Umbrian ,4' dry pea eaten in soups/ground for polenta.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,100-120 Days,Pisum sativum,
PEA-SA,"PEA, DWARF SNAP",DWARF SNAP PEA,Sugar Ann,Extra-early snap peas on 18-24” vines that ,don’t require staking. Excellent sweet eating!,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,55 Days,Pisum sativum,
PEA-MA,"PEA, SHELLING",SHELLING PEA,Maestro,Sweet & productive w/10 peas/pod! Excellent ,enation & powdery mildew resistance. 2’ tall.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,60 Days,Pisum sativum,
PEA-CA,"PEA, SNAP",SNAP PEA,Cascadia,Prolific bearer of fat & superbly sweet pods. ,"Medium climber, grows to 3.5’ tall.",,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,65 Days,Pisum sativum,
PEA-GS,"PEA, SNOW",SNOW PEA,Golden Sweet,Sweet golden pods and gorgeous purple-,magenta flowers. Unique variety from India.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,60-70 Days,Pisum sativum,
PEA-HL,"PEA, SNOW",SNOW PEA,Ho Lan Dow,Early & prolific yields w/superb flavor & ,excellent disease resistance. 2.5’ vines.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,60 Days,Pisum sativum,
PEA-SR,"PEA, SNOW",SNOW PEA,Schweizer Riesen,"Prolific, tender, sweet & long-standing. ",Lovely bi-color purple/pink blooms. 6+’.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,65-70 Days,Pisum sativum,
PEA-WX,"PEA, SHELLING",PETIT POIS/SHELLING PEA,Waverex,"Some of the sweetest, most flavorful peas ",you can grow. Dwarf plants with “petit” peas.,,Pea,Sow: as soon as soil can be worked (Feb-Apr),Direct seed,Planting Depth: ½ - 1”,Days to Germinate: 5-14 @ Soil Temp: 50-75F,Spacing: 1.5-2” (no need to thin),Light: full to part sun,Notes: peas love cool weather!,55 Days,Pisum sativum,
PEP-BA,"PEPPER, HOT",HOT PEPPER,Basque,Treasured med-hot chili of the Basque region ,known locally as “Espelette”. Robust flavor!,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,80 Days,Capsicum chinense,
PEP-CS,"PEPPER, HOT",HOT PEPPER,Criolla Sella,Small Bolivian ‘Aji’ type. Slender gold-,"orange, med. heat, & tropical citrusy flavor.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,90 Days,Capsicum chinense,
PEP-BR,"PEPPER, HOT",HOT PEPPER,Biquinho Red,Marble-sized variety from Brazil w/a pointed ,“beak”. Virtually heatless & very flavorful.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,85 Days,Capsicum chinense,
PEP-BY,"PEPPER, HOT",HOT PEPPER,Biquinho Yellow,Marble-sized variety from Brazil. ,Virtually heatless & very flavorful.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,85 Days,Capsicum chinense,
PEP-CZ,"PEPPER, HOT",HOT PEPPER,Czech Black,Tasty Jalapeño sized glossy black fruits ripen ,to garnet red. Excellent producer of mild fruit!,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,65-80 Days,Capsicum spp.,
PEP-HP,"PEPPER, HOT",HOT PEPPER,Hot Portugal,Stunning long red pointed fruits with sweet, flesh & medium heat. Early and productive.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,70-80 Days,Capsicum spp.,
PEP-PA,"PEPPER, HOT",HOT PEPPER,Pimiento de Padron,Pick these smoky little numbers young! ,"Blister in olive oil, sprinkle w/salt, eat. Repeat.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,65 Days,Capsicum chinense,
